type;id;manufacturer;name;family;width_mm;height_mm;depth_mm;pixel_width;pixel_height;pitch_mm;weight_kg;power_max_w;power_average_w;receiving_card;ethernet_ports;total_capacity_pixels;max_width_pixels;max_height_pixels;bandwidth_8bit_pps;bandwidth_highbit_pps;hdr;three_d;low_latency;port_backup;controller_backup;bit_depths;frame_rates;source_url;max_load_kg;supported_modes;category;source_label;notes
cabinet;yestech-mg7s-39-outdoor;Yestech;MG7S 3.9 Outdoor;;500;500;73;128;128;3,9;7,4;210;150;Nova A8s-N;;;;;;;;;;;;;;;;;;Yestech MG7S 3,9 Outdoor;Receiving card operativa A8s-N Record della base utente: campi non espressamente aggiornati non riverificati. Valori operativi utente conservati: non estendere ad altre revisioni MG7S. Presenza documentata a CPHI Milano 2024: https://www.yes-led.com/case/600.html
sending_card;novastar-mctrl4k;NovaStar;MCTRL4K;MCTRL;;;;;;;;;;;16;8800000;7680;7680;39000000;19200000;true;true;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/wp-content/uploads/2019/09/MCTRL4K-LED-Display-Controller-User-Manual-V1.1.0.pdf;;;;;Record della base utente: campi non espressamente aggiornati non riverificati.
sending_card;novastar-vx1000;NovaStar;VX1000;VX;;;;;;;;;;;10;6500000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://oss.novastar.tech/uploads/2024/07/VX1000-All-in-One-Controller-Specifications-V1.6.0.pdf;;;;;Verifica documentale 19/09/2026. Profilo 8 bit 50/60 Hz. Corretto rispetto alla base: ingressi 10/12 bit non supportati nella scheda V1.6.0, HDR non dichiarato, 3D supportato con EMT200 e capacità dimezzata. Le altre frequenze non sono abilitate in questo profilo.
sending_card;novastar-mctrl660-pro;NovaStar;MCTRL660 PRO;MCTRL;;;;;;;;;;;6;2300000;3840;2560;39000000;19200000;false;false;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/wp-content/uploads/2019/06/MCTRL660-PRO-Independent-Controller-Specifications-V1.3.0.pdf;;;;;Record della base utente: campi non espressamente aggiornati non riverificati.
sending_card;novastar-mctrl300;NovaStar;MCTRL300;MCTRL;;;;;;;;;;;2;1300000;3840;3840;39000000;19200000;false;false;false;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=2&id=30;;;;;Record della base utente: campi non espressamente aggiornati non riverificati.
sending_card;novastar-mx30;NovaStar;MX30;MX/COEX;;;;;;;;;;;10;6500000;16384;8192;39583350;19791650;true;true;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/product/detail.html?catid=2&id=49;;;;;Record della base utente: campi non espressamente aggiornati non riverificati.
sending_card;novastar-tb8;NovaStar;Taurus TB8;Taurus;;;;;;;;;;;4;2300000;4096;1920;39000000;19200000;false;false;false;true;true;8;50|60;https://oss.novastar.tech/uploads/2022/03/Taurus-Series-Multimedia-Player-TB8-Specifications-V1.6.6.pdf;;;;;Record della base utente: campi non espressamente aggiornati non riverificati.
sending_card;novastar-tb60;NovaStar;Taurus TB60;Taurus;;;;;;;;;;;4;2300000;4096;4096;39000000;19200000;false;false;false;true;true;8;50|60;https://oss.novastar.tech/uploads/2024/11/TB60-Multimedia-Player-Specifications-V1.2.1.pdf;;;;;Record della base utente: campi non espressamente aggiornati non riverificati.
flybar;yestech-mg7s-aluminum-hanging-beam;Yestech;MG7S Aluminum Hanging Beam;;500;;;;;;;;;;;;;;;;;;;;;;;;200;hanging|ground;;P3.9MG7SO21 User manual;Utilizzabile sospesa o in appoggio Record della base utente: campi non espressamente aggiornati non riverificati. Peso proprio sconosciuto: eliminato lo zero segnaposto. Portata 200 kg ereditata dal CSV, non riverificata.
accessory;yestech-mg7s-connecting-piece;Yestech;MG7S Connecting Plate;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;plate;Piastra di collegamento Record della base utente: campi non espressamente aggiornati non riverificati.
cabinet;infiled-er-46;Infiled;Infiled ER 4,6 50x100;;500;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;Record della base utente: campi non espressamente aggiornati non riverificati. INCOMPLETO: indoor/outdoor e revisione non identificati. Risoluzione, peso e consumi da confermare. Vedere separata variante ER Outdoor P4.6 VuePix.
cabinet;infiled-er-outdoor-p46-vuepix;INFiLED;ER Outdoor P4.6 500x1000 (VuePix);;500;1000;68;108;216;4,63;12,5;270;90;;;;;;;;;;;;;;;https://www.vuepix.com/er-series/;;;;VuePix INFiLED, tabella ER Outdoor P4.6 — https://www.vuepix.com/er-series/;Verifica documentale 19/09/2026. Outdoor IP65/IP54. Variante della scheda VuePix: non sovrascrive il cabinet utente non identificato. AVMS documenta un lotto differente da 12 kg e 300/100 W. Receiving card non specificata.
cabinet;absen-pl19-plus-v2;Absen;PL1.9 Plus V2;;500;500;78;256;256;1,95;7,5;175;58,75;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8–9, distribuito da Prase — https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/m² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl25-plus-v2;Absen;PL2.5 Plus V2;;500;500;78;200;200;2,5;7,5;145;47,5;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8–9, distribuito da Prase — https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/m² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl29-plus-v2;Absen;PL2.9 Plus V2;;500;500;78;168;168;2,97;7,5;135;45;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8–9, distribuito da Prase — https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/m² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl39-plus-v2-xl;Absen;PL3.9 Plus V2 500x1000;;500;1000;78;128;256;3,9;12;270;90;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8–9, distribuito da Prase — https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/m² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl39-pro-v2;Absen;PL3.9 Pro V2;;500;500;78;128;128;3,9;8;180;60;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8–9, distribuito da Prase — https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Outdoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/m² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl39-pro-v2-xl;Absen;PL3.9 Pro V2 500x1000;;500;1000;78;128;256;3,9;12,5;360;120;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8–9, distribuito da Prase — https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Outdoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/m² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;unilumin-upadiv-19;Unilumin;UpadIV1.9 Indoor;;500;500;70,1;256;256;1,9;6,3;120;40;;;;;;;;;;;;;;;https://www.unilumin.com/media/upload/UpadIV.pdf;;;;Unilumin brochure UpadIV 1.9/2.6 — https://www.unilumin.com/media/upload/UpadIV.pdf;Verifica documentale 19/09/2026. Indoor IP30. Revisione brochure con 120/40 W. Receiving card da verificare.
cabinet;unilumin-upadiv-26;Unilumin;UpadIV2 2.6 Indoor (150 W);;500;500;70,1;192;192;2,6;6,3;150;50;;;;;;;;;;;;;;;https://www.unilumin.com/media/upload/UpadIV.pdf;;;;Unilumin brochure UpadIV 1.9/2.6 — https://www.unilumin.com/media/upload/UpadIV.pdf;Verifica documentale 19/09/2026. Indoor IP30. Variante 150/50 W e 7680 Hz. Non confondere con revisioni 120/40 W, LiWe o U-shield. Receiving card da verificare.
