type;id;manufacturer;name;family;width_mm;height_mm;depth_mm;pixel_width;pixel_height;pitch_mm;weight_kg;power_max_w;power_average_w;receiving_card;ethernet_ports;total_capacity_pixels;max_width_pixels;max_height_pixels;bandwidth_8bit_pps;bandwidth_highbit_pps;hdr;three_d;low_latency;port_backup;controller_backup;bit_depths;frame_rates;source_url;max_load_kg;supported_modes;category;source_label;notes
sending_card;novastar-mctrl4k;NovaStar;MCTRL4K;MCTRL;;;;;;;;;;;16;8800000;7680;7680;39000000;19200000;true;true;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/wp-content/uploads/2019/09/MCTRL4K-LED-Display-Controller-User-Manual-V1.1.0.pdf;;;;;
sending_card;novastar-vx1000;NovaStar;VX1000;VX;;;;;;;;;;;10;6500000;10240;8192;39000000;19200000;true;false;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/product/detail.html?catid=3&id=35;;;;;
sending_card;novastar-mctrl660-pro;NovaStar;MCTRL660 PRO;MCTRL;;;;;;;;;;;6;2300000;3840;2560;39000000;19200000;false;false;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/wp-content/uploads/2019/06/MCTRL660-PRO-Independent-Controller-Specifications-V1.3.0.pdf;;;;;
sending_card;novastar-mctrl300;NovaStar;MCTRL300;MCTRL;;;;;;;;;;;2;1300000;3840;3840;39000000;19200000;false;false;false;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=2&id=30;;;;;
sending_card;novastar-mx30;NovaStar;MX30;MX/COEX;;;;;;;;;;;10;6500000;16384;8192;39583350;19791650;true;true;true;true;true;8|10|12;24|25|30|48|50|60|100|120;https://www.novastar.tech/product/detail.html?catid=2&id=49;;;;;
sending_card;novastar-tb8;NovaStar;Taurus TB8;Taurus;;;;;;;;;;;4;2300000;4096;1920;39000000;19200000;false;false;false;true;true;8;50|60;https://oss.novastar.tech/uploads/2022/03/Taurus-Series-Multimedia-Player-TB8-Specifications-V1.6.6.pdf;;;;;
sending_card;novastar-tb60;NovaStar;Taurus TB60;Taurus;;;;;;;;;;;4;2300000;4096;4096;39000000;19200000;false;false;false;true;true;8;50|60;https://oss.novastar.tech/uploads/2024/11/TB60-Multimedia-Player-Specifications-V1.2.1.pdf;;;;;
sending_card;novastar-vx400;NovaStar;VX400;VX;;;;;;;;;;;4;2600000;10240;8192;39000000;;false;false;true;true;true;8;50|60;https://oss.novastar.tech/uploads/2024/07/VX400-All-in-One-Controller-Specifications-V1.2.0.pdf;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Processore e sender all-in-one. Profilo 8 bit. HDR e 3D non abilitati nel profilo.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx600;NovaStar;VX600;VX;;;;;;;;;;;6;3900000;10240;8192;39000000;;false;false;true;true;true;8;50|60;https://oss.novastar.tech/uploads/2023/11/VX600-All-in-One-Controller-Specifications-V1.6.0.pdf;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Processore e sender all-in-one. Profilo della scheda V1.6.0, 8 bit. HDR e 3D non abilitati.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx400-pro;NovaStar;VX400 Pro;VX;;;;;;;;;;;4;2600000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. Lâ€™app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nellâ€™app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
